rank,personName,age,finalWorth,year,month,category,source,country,state,city,countryOfCitizenship,organization,selfMade,gender,birthDate,title,philanthropyScore,residenceMsa,numberOfSiblings,bio,about
1053,Daniel Dines,50.0,2900.0,2022,4,Technology,software,United States,New York,New York,Romania,,True,M,1972-01-01,,,"New York, NY",,"Daniel Dines is cofounder and CEO of UiPath, a robotic process automation company that went public on the New York Stock Exchange in April 2021.
Dines started DeskOver in 2005 in Bucharest, Romania. He later renamed it UiPath and moved its headquarters to New York City in 2018.
Customers like Japan's Sumitomo Mitsui bank or Toyota North America can spend millions on UiPath's virtual ""robot"" that can automate complex, repetitive tasks.
An avid reader, Dines said in a 2019 Forbes cover story that he reads in the mornings, often not showing up to UiPath's office until 11 am.
UiPath is expecting $900 million in revenues in the year through January 2022; the company has yet to turn a profit. ","In October 2019, after a period of rapid hiring at UiPath, the company laid off more than 300 employees, or about 11% of its workforce."
2190,Sandro Veronesi & family,62.0,1300.0,2022,4,Fashion & Retail,fashion,Italy,,Milan,Italy,,True,M,1959-10-18,,,,,"Sandro Veronesi is the president of Calzedonia, a hosiery and lingerie retail chain he founded in 1986 in Verona, Italy. 
He got his start in the business by working for the Italian king of hosiery, Nerino Grassi, at the Golden Lady Company.
Today, his Calzedonia Group with subsidiary brands Intimissimi, Tezenis, and Falconeri, boasts 4,859 stores in 54 countries.
Veronesi is passionate about wine, and opened Signorvino, a chain of wine shops, cafes and restaurants across Italy.","Veronesi started Calzedonia as a side business, while he was still working at the Golden Lady Company."
2578,Mark Haoyong Yang,47.0,1000.0,2022,4,Technology,e-commerce,China,,Beijing,China,,True,M,1974-08-16,,,,,"Mark Yang, also known as Yang Haoyong, is the chairman of Guazi, an online site that sells second-hand cars.
Yang earlier founded online classified site Ganji, which was acquired by 58.com.
He holds degrees from Yale University and the University of Science and Technology of China.",
1012,Oren Zeev,57.0,3000.0,2022,4,Finance & Investments,investments,United States,California,Los Altos,Israel,,True,M,1964-09-23,,,,,"Oren Zeev is the founding partner of Zeev Ventures, a one-man, Silicon Valley-based venture capital firm that makes early-round investments in tech companies.
He led early investments in small start-ups that evolved into billion-dollar companies, such as Chegg, Houzz, TripActions, Tipalti and Firebolt.
Prior to that, he worked at IBM in Israel and was a partner at private equity firm Apax Partners.","Zeev runs his VC fund all by himself, with no staff or general partners."
460,Tse Ping,70.0,5700.0,2022,4,Healthcare,pharmaceuticals,Hong Kong,,Hong Kong,China,,True,M,1952-01-03,,,,,"Tse Ping is a member of the billionaire Dhanin clan from Thailand and the guiding hand behind Hong Kong-listed Sino Biopharmaceutical. 
He stepped down as chairman of Sino Biopharmaceutical in 2015 and ceded the role to his daughter Theresa, while staying on as an executive director.
Tse's wife Cheng Cheung Ling is also an executive director at the pharmaceuticals maker. ",
851,Wang Zhenhua,60.0,3500.0,2022,4,Real Estate,real estate,China,,Shanghai,China,,True,M,1962-03-01,,,,,"Wang Zhenhua is the chairman of property developer Future Land Development Holdings.

Hong Kong-listed Future Land Development is headquartered in Shanghai. 
Wang first entered the property development business in 1993.
Wang received an EMBA degree from Cheung Kong Graduate School of Business in July 2005.",
665,Ty Warner,77.0,4300.0,2022,4,Real Estate,"plush toys, real estate",United States,Illinois,Oak Brook,United States,,True,M,1944-09-03,,2.0,"Chicago-Joliet-Naperville, IL-IN-WI",,"Ty Warner is the creator of Beanie Babies, the plush toy fad of the 1990s. 
Warner used the profits from selling Beanie Babies to assemble a high-end hotel portfolio, including the Four Seasons in New York.  
His Ty Inc. still sells a related Beanie Baby toy called a Beanie Boo around the world.

His Las Ventanas al Paraiso resort in Mexico rents its Ty Warner Mansion for $35,000 a night.
Warner has donated $100 million in cash and toys to the Children's Hunger Fund since 2005.","A onetime bellman, car valet and fruit market vendor, Warner found his calling as a salesmen--peddling encyclopedias and later stuffed animals at toymaker Dakin.
Warner was convicted of tax evasion and paid a $53 million fine in 2013 for stashing money in a Swiss bank, but avoided jail time."
1513,Orion Hindawi,42.0,2000.0,2022,4,Technology,software,United States,Washington,Seattle,United States,Tanium,True,M,1980-01-10,CEO,,"Seattle, WA",,"Orion Hindawi cofounded cybersecurity firm Tanium with his father David in 2007; private investors valued the firm at $9 billion in June 2020.
In February 2016, Orion took over as CEO of Tanium from his father, who serves as executive chairman.
The father-son team previously worked together on BigFix, an IT software patching system that they sold to IBM for $400 million in 2010.
Orion's father David was born in Baghdad, grew up in Israel, and went to UC Berkeley to earn a Ph.D. 
Orion also ended up at UC Berkeley in 1997, but dropped out before graduating to work with his father.",
2448,Wang Shumin,65.0,1100.0,2022,4,Manufacturing,manufacturing,China,,Beijing,China,,True,F,1957-01-11,,,,,"Wang chairs Beijing Bei Mo Gao Ke Friction Material, a manufacturer of aircraft parts. ",
18,Alice Walton,72.0,65300.0,2022,4,Fashion & Retail,Walmart,United States,Texas,Fort Worth,United States,Crystal Bridges Museum of American Art,False,F,1949-10-07,Philanthropist,2.0,"Dallas-Fort Worth-Arlington, TX",,"Alice Walton is the only daughter of Walmart founder Sam Walton.

She has focused on curating art, rather than working for Walmart like her siblings, Rob and Jim.
In 2011, she opened the Crystal Bridges Museum of American Art in her hometown of Bentonville, Arkansas.
Crystal Bridges features works from the likes of Andy Warhol, Norman Rockwell and Mark Rothko.
In January 2020, she took aim at America's ""broken"" healthcare system and unveiled plans to open a holistic health institute in Bentonville.","After graduating from Trinity College in 1971, Walton briefly worked for Walmart as a buyer of children's clothes.
Her art collecting career began when she was 11 and bought a 25-cent print of Picasso's ""Blue Nude."""
1645,Yang Xuegang,57.0,1800.0,2022,4,Manufacturing,coking,China,,Beijing,China,,True,M,1965-02-01,,,,,"Yang Xuegang is the chairman and CEO of China Risun Group, a supplier of coke and chemicals. 
Founded in 1995, China Risunis headquartered in Beijing. 
Yang Xuegangworked at the Dongwushi Reservoir Management Center-- under a government water bureau -- earlier in his career.
Yang Xuegang holds an executive master's degree in business administration from Hebei University of Technology in Tianjin.",
1096,Sun Hongbin,59.0,2800.0,2022,4,Real Estate,real estate,China,,Tianjin,United States,,True,M,1963-01-01,,,,,"Sun Hongbin is the founder and chairman of Sunac China Holdings, one of China's largest real estate developers.
Sunac is headquartered in Tianjin, and its shares trade on the Hong Kong Stock Exchange.
Sunac has expanded into the entertainment and hotel business by acquiring assets from China's Wanda Group.
Sun, a U.S. citizen, received his master's degree from Tsinghua University and completed an advanced management program at Harvard Business School.",
1818,Paul Saville,66.0,1600.0,2022,4,Real Estate,homebuilder,United States,Florida,Palm Beach,United States,,True,M,1955-12-14,,,"Miami-Fort Lauderdale-Pompano Beach, FL",,"Paul Saville leads Virginia-based NVR, one of the largest homebuilders in the United States, with nearly $9 billion in annual revenue.
Saville joined Ryan Homes, now a subsidiary of NVR, in 1981. He was promoted to president and CEO in 2005.
NVR builds homes in 14 states, primarily in the Mid-Atlantic and Midwest. Their homes sold for an average of $404,000 in 2021.
In 2020, Paul and his wife, Linda, donated $20 million to open a new cancer screening and prevention center in Falls Church, Virginia.","In 2017, Paul and Linda Saville sold their Palm Beach home to hedge fund billionaire Ken Griffin for $85 million."
13,Carlos Slim Helu & family,82.0,81200.0,2022,4,Telecom,telecom,Mexico,,Mexico City,Mexico,AmÃ©rica MÃ³vil,True,M,1940-01-28,Honorary Chairman,,,,"Mexico's richest man, Carlos Slim Helu and his family control AmÃ©rica MÃ³vil, Latin America's biggest mobile telecom firm.
With foreign telecom partners, Slim bought a stake in Telmex, Mexico's only phone company, in 1990. Telmex is now part of AmÃ©rica MÃ³vil.
He also owns stakes in Mexican construction, consumer goods, mining and real estate companies and 17% of The New York Times.
His son-in-law Fernando Romero designed the Soumaya Museum in Mexico City, home to Slim's extensive, eclectic art collection.
Slim and his family hold a 79% stake of Grupo Carso, one of Latin America's largest conglomerates, accounting for over 8% of his fortune.","Every Sunday his father would give Carlos a 5-peso allowance, requiring him to record his purchases in a ledger.
Before going into business, Slim taught algebra at UNAM, a university in Mexico City."
883,Archie Aldis Emmerson & family,92.0,3400.0,2022,4,Manufacturing,"timberland, lumber mills",United States,California,Redding,United States,,True,M,1929-04-10,,2.0,"Redding, CA",,"The country's third largest landowner, Archie Aldis ""Red"" Emmerson and his family own nearly 2 million acres.
His Sierra Pacific Industries is the largest private lumber production firm in the nation, with 14 sawmills across California and Washington.
Emmerson and his father Curly started SPI in 1949. It went public in 1969 but four years later they bought out their partner and took it private
Today, Red's sons George and Mark run the firm as president and chairman, respectively, though Red is still at the office nearly every day. ","Emmerson was kicked out of boarding school in 1946 for telling a friend that he should pin a condom on the bulletin board, which he did.
SPI has given scholarships to the children of its employees for nearly four decades."
1579,Xue Xiangdong & family,63.0,1900.0,2022,4,Technology,software,China,,Beijing,China,,True,M,1959-02-10,,,,,"Xue Xiangdong chairs Shenzhen-listed DHC Software, which makes software for industrial applications.
Xue worked at a state-owned company after graduation but quit in 1992 to become a representative in China for a Canadian software firm.
",
2324,Yvon Chouinard,83.0,1200.0,2022,4,Fashion & Retail,Patagonia,United States,California,Ventura,United States,,True,M,1938-11-09,,,"Oxnard, CA",,"Yvon Chouinard is founder of outdoor wear maker Patagonia, based in Ventura, California.
Since Patagonia was founded in 1984, it has has an open office plan - not even Chouinard, the owner, has his own office.
His apparel business took off in the 1970s when Chouinard imported rugby shirts from England and sold them to climbers.
Since 1985, Patagonia has set aside 1% of sales to finance grassroots environmental groups in the U.S. and abroad. Revenues hit $800 million in 2017.
In May 2013 Patagonia launched Tin Shed Ventures which provides seed funding to environmentally and socially responsible start-ups.
","On Black Friday 2011, Patagonia ran a full-page ad in The New York Times encouraging customers not to buy its products, but to reuse or repair items instead.
An avid climber, Chouinard taught himself blacksmithing in 1957 to make reusable climbing tools that wouldn't pollute the environment."
214,Gordon Moore,93.0,9500.0,2022,4,Technology,Intel,United States,California,Woodside,United States,Intel,True,M,1929-01-03,Cofounder and Chairman Emeritus,5.0,"San Francisco-Oakland-Fremont, CA",,"Silicon Valley pioneer Gordon Moore cofounded semiconductor firm Intel in 1968; he was CEO from 1975 to 1987 and chairman from 1979 to 1997.
Prior to Intel, Moore was part of the ""traitorous eight"" that left Nobel Prize winner Bill Shockley's firm to found Fairchild Semiconductor in 1957. 
Moore is famous for his prediction that computer processing power would double every year, an insight known as ""Moore's Law."" 
He and his wife launched the Gordon and Betty Moore Foundation in 2000. It has over $6 billion in assets and gives away $300 million in grants a year.
The foundation supports environmental conservation, patient care, scientific research and projects in the San Francisco Bay Area.","Moore and his wife joined the Giving Pledge in 2012, promising to donate half of their wealth to charitable causes.
In his first year as a student at U.C. Berkeley, Gordon belonged to the Rocket Society and designed a rocket engine."
1096,Weiguo Zhao,55.0,2800.0,2022,4,Technology,IT products,China,,Beijing,China,,True,M,1967-01-01,,,,,"Zhao Weiguo leads Tsinghua Unigroup, an affiliate of Tsinghua University, and has been a force in building up the country's semiconductor industry. 

Zhao is a Tsinghua University alum.",
1196,Alec Gores,69.0,2600.0,2022,4,Finance & Investments,private equity,United States,California,Beverly Hills,United States,,True,M,1953-03-18,,1.0,"Los Angeles-Long Beach-Santa Ana, CA",,"Gores has sponsored more than a dozen SPACs since 2015 as an early adopter of the blank-check frenzy that exploded in 2020.
His SPACs have orchestrated mergers to take companies like Luminar Technologies, United Wholesale Mortgage and Twinkie-maker Hostess Brands public.
Gores founded private equity firm The Gores Group in 1987, though its assets have shrunk more than 80% in the last decade to $574 million.
Gores and his younger brother Tom, also a billionaire, immigrated to America from Israel with their parents and four other siblings in 1968.
The brothers worked together at the beginning of their careers but went their separate ways in 1995 and have occasionally competed for buyout deals.","Gores' first job after immigrating to the United States at age 15 was bagging groceries for 25 cents an hour at his uncle's store in Flint, Michigan.
Alec's and Tom's brother Sam is the chairman of the Paradigm Talent Agency, which lists Coldplay, Laurence Fishburne and Ed Sheeran among its clients.
Gores says he has donated more than $50 million in his lifetime, as of mid-2018, to recipients such as  the Hebrew University of Jerusalem and programs for children"
1445,Masaaki Arai,56.0,2100.0,2022,4,Real Estate,home sales,Japan,,Tokyo,Japan,,True,M,1965-10-29,,,,,"Masaaki Arai is the founder and chairman of Tokyo property developer and agent Open House Co. 
His company focuses on providing homes for people in bigger Japanese cities such as Tokyo. Its motto is ""Let's find a house in Tokyo.""
The company was founded in 1997 and went public in 2013.
It has sold more than 60,000 homes in the Tokyo metro area.
The business, which has $7.4 billion in annual revenue, has expanded to the U.S. targeting affluent Japanese investors.",
536,Hiroshi Mikitani,57.0,5100.0,2022,4,Fashion & Retail,online retail,Japan,,Tokyo,Japan,,True,M,1965-03-11,,,,,"Hiroshi Mikitani is founder and CEO of Rakuten, Japan's biggest e-commerce retailer.
In 2020, Rakuten posted a loss of $932 million on revenue of $13.2 billion.
The firm launched its new $5.5 billion mobile service, which was to start in October 2019, in April 2020.
Rakuten's $300 million investment in ride-sharing firm Lyft resulted in losses and Mikitani stepped down from Lyft's board in 2020.
In March 2021, China's Tencent, Japan Post Holdings and Walmart together invested more than $2 billion in Rakuten.","In 2010, he led an ""Englishnization"" campaign at Rakuten, making English the company's official internal language in an effort to improve employees' English. 
His nickname is ""Mickey."""
73,"Thomas Frist, Jr. & family",83.0,21800.0,2022,4,Healthcare,hospitals,United States,Tennessee,Nashville,United States,,True,M,1938-08-12,,1.0,"Nashville, TN",4.0,"Thomas Frist Jr., a former Air Force flight surgeon, founded Hospital Corp. of America with his father in 1968.
He took it public for the third time in 2011 after two management buyouts and owns over 20% of the company.
HCA Healthcare owns and operates 187 hospitals and around 2,000 sites of care in 20 states in the U.S. and U.K. 
Frist Jr. doesn't have an executive position at HCA, but his sons, Thomas Frist III and William Frist, are board members.","His brother, Bill Frist, was the U.S. Senate majority leader from 2003 to 2007, while George W. Bush was president.
Through the Frist Foundation, he and his family played an integral role in creating Nashville's Frist Art Museum, where he serves as Director Emeritus."
1818,Diao Zhizhong,58.0,1600.0,2022,4,Technology,software,China,,Beijing,China,,True,M,1963-11-06,,,,,"Diao Zhizhong chairs Glodon, a software business headquartered in Beijing.
The company went public at the Shenzhen Stock Exchange in 2010.",
2448,Shao Zengming,,1100.0,2022,4,Manufacturing,diamonds,China,,Zhengzhou,China,,True,M,,,,,,"Shao chairs Henan Liliang Diamond, a supplier of synthetic diamond products. ",
1513,Vinod Saraf,69.0,2000.0,2022,4,Manufacturing,chemicals,India,,Mumbai,India,,True,M,1952-06-16,,,,,"An MBA from BITS Pilani, Vinod Saraf started his career working for Aditya Birla, billionaire Kumar Birla's late father.
In 1989, he set up his own venture to manufacture isobutyl benzene, the key raw material used for making ibuprofen, a popular painkiller.
His listed Vinati Organics is now among the world's largest producers (by volume) of ibuprofen.
His older daughter Vinati Mutreja, a Wharton grad after whom the company is named, now runs the company as CEO and managing director.",
1053,Roger Penske,85.0,2900.0,2022,4,Automotive,cars,United States,Michigan,Birmingham,United States,,True,M,1937-02-20,,,"Detroit-Warren-Livonia, MI",8.0,"Former race car driver Roger Penske is the founder, chairman and CEO of publicly-traded car and truck dealer Penske Automotive Group.
The business is best known for its auto dealerships, which sell new and used cars, and its iconic yellow rental trucks.
Penske started his career with one car dealership in 1965, opened with a $75,000 loan from his father.
In June 2019, President Trump announced that Penske will be awarded a Presidential Medal of Freedom, the highest civilian award in the U.S.","He was named Sports Illustrated's race car driver of the year in 1961.
His businesses generate more than $22 billion per year and employ upwards of 50,000 people."
324,David Green & family,80.0,7300.0,2022,4,Fashion & Retail,retail,United States,Oklahoma,Oklahoma City,United States,Hobby Lobby,True,M,1941-11-13,CEO,3.0,"Oklahoma City, OK",,"A preacher's son from a poor background, Hobby Lobby founder David Green opened his first crafts shop in 1970 with a $600 loan.
His empire has grown from a single 300-square-foot store in Oklahoma City to 957 locations in 46 states, with $6.4 billion in 2020 sales.
A devout Christian, he still serves as Hobby Lobby's CEO and goes to work six days a week.
He won a 2014 Supreme Court case that exempted ""closely held"" companies with strong religious beliefs from providing employees the morning-after pill.
Green and his family spent $500 million on the Museum of the Bible, which opened in D.C. in 2017.
The Museum, chaired by Green's son Steve, has had to return thousands of smuggled artifacts to Egypt and Iraq.","Green worked as a stock boy at a general store in high school, where he swept floors and unloaded boxes for 60 cents an hour.
Hobby Lobby's first product was miniature picture frames, which Green's wife and two young sons made on their kitchen table. "
11,Gautam Adani & family,59.0,90000.0,2022,4,Diversified,"infrastructure, commodities",India,,Ahmedabad,India,,True,M,1962-06-24,,,,7.0,"Infrastructure tycoon Gautam Adani controls Mundra Port, India's largest, in his home state of Gujarat.
His $13 billion (revenue) Adani Group's interests span infrastructure, commodities, power generation and transmission and real estate.
Adani owns Abbot Point, a controversial coal mining project in Australia, whose Carmichael coal mine is billed as one of the world's largest. It took nine years for Adani to get all approvals.
Adani acquired a 74% stake in Mumbai International Airport, India's second-busiest, in September 2020. He's now the country's biggest airport operator.
Adani wants to be the world's largest producer of green energy and has said he will invest upto $70 billion on renewable energy projects. 
","Adani is a college dropout, who spurned his father's textile shop to set up a commodities export firm in 1988.

Adani survived the terrorist attack in Mumbai's Taj Mahal Palace Hotel in 2008. 
"
637,Gustav Magnar Witzoe,28.0,4500.0,2022,4,Food & Beverage,fish farming,Norway,,Kverva,Norway,,False,M,1993-04-22,,,,,"Gustav Magnar Witzoe owns nearly half of Salmar ASA, one of the world's largest salmon producers.
His stake was gifted to him in 2013 by his father, Gustav Witzoe, who founded the company in 1991.
Salmar has led the industrialization of fish farming in Norway, refining the product into more sophisticated cuts with higher margins.
The elder Witzoe still runs the company; Gustav Magnar, meanwhile, is trying to make his own mark investing in real estate and tech startups.","Fish farming is now one of Norway's biggest industries; in 2016 Salmar harvested close to 130,000 tons of salmon.
In 2017 Salmar installed the world's first off-shore fish farm."
1645,Joao Moreira Salles,60.0,1800.0,2022,4,Diversified,"banking, minerals",Brazil,,Rio de Janeiro,Brazil,,False,M,1962-01-01,,,,,"Brazilian documentary filmmaker Joao Moreira Salles is a member of one of Brazil's oldest banking families.
His late father, Walther Moreira Salles, was the founder of Unibanco and a former ambassador to the United States.
In 2008 Unibanco merged with Itau, then Brazil's second-largest commercial bank, creating Itau-Unibanco, the largest bank in Latin America.
Moreira Salles and his three brothers, all billionaires, also own stakes in CBMM, the world's leading supplier of the mineral niobium. ",Moreira Salles' 2006 documentary Santiago won the Knight Grand Jury Prize for Documentary Features at the Miami International Film Festival.
146,Hinduja brothers,,12700.0,2022,4,Diversified,diversified,United Kingdom,,London,United Kingdom,,False,M,,,,,4.0,"Four siblings, Srichand, Gopichand (pictured), Prakash and Ashok, control multinational conglomerate the Hinduja Group.
Their group's  businesses range from trucks and lubricants to banking and cable television. 
The brothers own valuable real estate in London, including  the historic Old War Office building in Whitehall, which will house a Raffles Hotel.
Srichand and Gopichand live in London and Prakash resides in Monaco while the youngest sibling Ashok oversees their Indian interests from Mumbai.
In June 2020, a U.K. court filing revealed a dispute between the eldest Srichand with his three younger brothers over the ownership of a Geneva bank. ","The empire was started by their father, Parmanand Deepchand Hinduja, who  traded goods in the Sindh region of India (now Pakistan) before moving to Iran in 1919.
The Hinduja brothers shifted their base from Iran to London in 1979.
One of their homes in London is Carlton House Terrace located near Buckingham Palace. "
1445,Alberto Bombassei,81.0,2100.0,2022,4,Automotive,automotive brakes,Italy,,Bergamo,Italy,,False,M,1940-10-05,,,,,"Alberto Bombassei chairs Brembo, a global leader in high-performance braking technology. 
Brembo's brakes can be found in Ferraris, Corvettes and Harley-Davidsons around the world. 
Founded by Alberto's father Emilio, Brembo broke into the big leagues in 1975, when Enzo Ferrari asked Emilio to outfit his race cars.
Alberto became general manager of the company in 1976, managing director in 1984 and was chairman from 1993 to 2021.
He has transferred his shares in the publicly traded company to his children, Luca and Cristina, but maintains control over their 53.5% stake.",
2324,Faxiang Yu,50.0,1200.0,2022,4,Media & Entertainment,"tourism, cultural industry",China,,Shaoxing,China,,True,M,1971-10-07,,,,,"Yu Faxiang chairs Sunriver Holding Group, which was founded as a tourism business in in Hainan in 1992. 

Sunriver Holding has stakes in animation company Zhejiang Sunriver Culture and highway construction firm Gourgen Traffic Construction.
Sunriver Holding has 5,000 employees with the total asset of 45 billion yuan, or $6.4 billion, according to the company's website. <br>",
197,Joe Gebbia,40.0,10000.0,2022,4,Technology,Airbnb,United States,California,San Francisco,United States,AirBnB,True,M,1981-08-21,Chief Product Officer & Cofounder,1.0,"San Francisco-Oakland-Fremont, CA",,"Joe Gebbia cofounded peer-to-peer room and home rental company Airbnb with Brian Chesky and Nathan Blecharczyk in 2008.
Gebbia and Chesky met in college at Rhode Island School of Design.
Before becoming chief product officer of Airbnb, Gebbia initially wanted to pursue fine art painting and host gallery shows in New York City. 
Recovering from the pandemic, Airbnb listed its shares on the Nasdaq exchange in December 2020; it had raised $2 billion in debt in April 2020.
Gebbia is also the chairman Airbnb.org, an independent housing nonprofit funded by Airbnb, as well as the chairman of Samara, the company's experimental in-house design studio.","Broke and faced with rising rents, Gebbia and Chesky initially bought an air bed for their apartment and rented it out.
Gebbia's first guest was a teacher in Providence, who bought a piece of Gebbia's artwork during a yard sale."
1818,Sergei Gordeev,49.0,1600.0,2022,4,Real Estate,real estate,Russia,,Moscow,Russia,,True,M,1972-11-22,,,,,"Sergei Gordeev is an investor in startups including Hyperloop One, a U.S. highspeed-travel startup.
In 1995, he founded Rosbuilding, which bought shares of different plants.
He bought a 20% stake in home builder PIK Group from billionaire Suleiman Kerimov in 2013, and eventually became the controlling shareholder.
He made his fortune buying up shares of industrial companies in Moscow and then turning factories into office complexes. ","Gordeev, who is interested in architecture, designed his own house in a London suburb.
Gordeev bought a factory once owned by a theater director, founded a theater there and for many years sponsored its troupe."
523,Liang Feng,53.0,5200.0,2022,4,Manufacturing,manufacturing,China,,Shanghai,China,,True,M,1968-11-22,,,,,"Liang Feng is a co-founder and the chairman of Shanghai Putailai New Energy Technology, a supplier to the lithium-ion battery industry.

Putailai's clients include Samsung and LG. 

Liang holds an undergraduate degree in automation from South China University of Technology.
 He also holds a master's degree in economics from Zhejiang University.",
913,S. Curtis Johnson,66.0,3300.0,2022,4,Manufacturing,cleaning products,United States,Wisconsin,Racine,United States,,False,M,1955-05-05,,2.0,"Racine, WI",,"S. Curtis is a great-great-grandson of Samuel Curtis Johnson, who founded SC Johnson, the family's cleaning products company, in 1886.
In 2014, he was sentenced to four months in jail and fined $6,000 after pleading guilty to misdemeanor sexual assault of his stepdaughter. 
S. Curtis had been the chairman of family-owned industrial cleaning company Diversey, but stepped down before his arrest, in 2011. 
SC Johnson is known for products including Pledge, Windex and Drano. 
S. Curtis and his siblings pledged $150 million to Cornell in 2017 to fund the SC Johnson College of Business.","Like his parents and his three siblings, Curt attended Cornell University.
S. Curtis owns a stake of SC Johnson but has no role in any of the family businesses."
851,Renzo Rosso & family,66.0,3500.0,2022,4,Fashion & Retail,fashion,Italy,,Bassano del Grappa,Italy,,True,M,1955-09-15,Entrepreneur,,,,"Renzo Rosso owns denim powerhouse Diesel plus designer brands Maison Margiela, Viktor & Rolf and Marni through his Only the Brave holding company.
Rosso got his start at age 15, when he borrowed his mother's sewing machine and made his first piece of clothing: a pair of bell-bottoms.
He later joined denim guru Adriano Goldschmied at an Italian manufacturing company called Moltex, which he renamed Diesel in 1978.
Seven years later he bought out Goldschmied's stake and positioned Diesel as an upscale choice for denim.
His family's investment vehicle, Red Circle, owns stakes in everything from mobile app companies to eyewear manufacturers.","Rosso picked the name ""Diesel"" for his company as a nod to the oil crises after the 1973 Arab-Israeli War.
Rosso also owns Italian soccer club L.R. Vicenza Virtus and a winery named Diesel Farm."
2324,He Yamin & family,65.0,1200.0,2022,4,Manufacturing,manufacturing,China,,Chengdu,China,,True,M,1957-02-23,,,,,"He Yamin chairs Chengdu Leejun Industrial, a supplier of equipment to the cement and mining industries. 
He Yamin's daughter He Jia is being groomed as his successor; she and her father each hold about 1/3 of the company's shares.
Leejun was founded in 1999 in the central Chinese city of Chengdu.",
1196,Lorenzo Fertitta,53.0,2600.0,2022,4,Sports,"casinos, mixed martial arts",United States,Nevada,Las Vegas,United States,,False,M,1969-01-03,,2.0,"Las Vegas, NV",,"Lorenzo Fertitta and his brother, Frank, made the bulk of their fortune through mixed martial arts promoter UFC.
They bought UFC for $2 million in 2001; an investment group led by WME/IMG bought it for $4 billion in 2016.
They sold their remaining stakes in UFC in August 2017 at a $5 billion valuation. 
The Fertittas took public their casino business, Red Rock Resorts, in 2016. It was founded by their father.
They each pledged $7.5 million in 2016 to NYU's Stern School of Business for a scholarship for veterans. ","The Fertitta brothers got hooked on martial arts after taking weekly lessons in their casino's basement. Soon after, they bought UFC.
Fertitta's son Nicco plays safety for the University of Notre Dame football team.
"
